매출_일련번호,매출년월,시간대_G2,매출금액,연령대_10세,성별,추정라이프스테이지,추정직업군,추정연소득구간,페르소나_1인가구_등급,페르소나_1인가구_스코어,페르소나_액티브시니어_등급,페르소나_액티브시니어_스코어,페르소나_반려동물보유_등급,페르소나_반려동물보유_스코어,페르소나_온라인쇼핑_등급,페르소나_온라인쇼핑_스코어,페르소나_건강관심_등급,페르소나_건강관심_스코어,페르소나_자녀교육관심_등급,페르소나_자녀교육관심_스코어,페르소나_문화활동관심_등급,페르소나_문화활동관심_스코어,페르소나_프리미엄소비_등급,페르소나_프리미엄소비_스코어,페르소나_가격민감_등급,페르소나_가격민감_스코어,페르소나_얼리어답터_등급,페르소나_얼리어답터_스코어,페르소나_아웃도어활동관심_등급,페르소나_아웃도어활동관심_스코어,페르소나_국내여행관심_등급,페르소나_국내여행관심_스코어,페르소나_해외여행관심_등급,페르소나_해외여행관심_스코어,페르소나_배달식선호_등급,페르소나_배달식선호_스코어,페르소나_간편식선호_등급,페르소나_간편식선호_스코어,페르소나_밀키트선호_등급,페르소나_밀키트선호_스코어,개인신용판매_이용금액_등급,주점업종_이용금액_등급,주류판매점업종_이용금액_등급,제과아이스크림업종_이용금액_등급,커피음료업종_이용금액_등급,한식업종_이용금액_등급,일식업종_이용금액_등급,중식업종_이용금액_등급,양식업종_이용금액_등급,부페업종_이용금액_등급,패스트푸드업종_이용금액_등급,간이음식점업종_이용금액_등급,할인점업종_이용금액_등급,마트업종_이용금액_등급,백화점업종_이용금액_등급,편의점업종_이용금액_등급,배달앱업종_이용금액_등급,현금서비스사용여부,가맹점_소재_광역시도,가맹점_소재_시군구,가맹점_소재_행정동,가맹점_지역_상권유형_(추정),매출발생요일,매출발생일_휴일여부,점포번호,포스번호,매출번호,구매수량,제품코드,제품코드명,제품금액,제품수량,제품대분류코드,제품대분류코드명,제품중분류코드,제품중분류코드명,제품소분류코드,제품소분류코드명
50,202103,00-06,66339,30대,F,취업준비,전문의,6000-8000,4,0.9802,5,0.28,1,0.6922,4,0.1477,5,0.2535,4,0.3906,2,0.0472,5,0.702,3,0.0168,5,0.705,5,0.6284,3,0.5327,4,0.3738,2,0.9077,1,0.479,5,0.6031,2,1,3,1,1,2,5,3,1,5,1,1,4,1,4,2,4,Y,전북,시군구5,행정동4,상권유형B,Wednesday,N,45,18,174391,1,P78271,생필품,23984,1,200,생활,110,음료,121,과자
51,202103,12-18,18056,20대,M,직장인,무직,2000-4000,1,0.2255,1,0.8635,1,0.3932,2,0.9192,2,0.1334,3,0.5342,5,0.3035,3,0.6988,2,0.51,1,0.6751,2,0.2927,1,0.1128,5,0.3791,5,0.0447,3,0.3026,3,0.003,1,4,1,2,5,4,2,2,1,2,1,2,3,5,3,3,3,N,경기,시군구4,행정동5,상권유형C,Tuesday,N,46,15,121097,3,P42466,스낵,4368,3,100,식음료,220,의류,111,콜라
52,202008,06-12,30945,30대,M,학생,생산직,8000+,3,0.4217,5,0.2403,2,0.7513,3,0.115,3,0.3649,4,0.3768,1,0.8362,4,0.3778,3,0.2789,5,0.3359,4,0.6445,3,0.7018,4,0.986,3,0.0734,1,0.4438,5,0.3001,4,3,4,5,3,5,3,1,1,2,2,2,2,5,2,1,2,N,대구,시군구5,행정동4,상권유형B,Tuesday,N,23,61,191784,9,P34031,음료,23356,2,200,생활,220,의류,211,의류
53,202010,12-18,36757,30대,F,취업준비,자영업자,4000-6000,1,0.5586,4,0.8399,3,0.9089,2,0.6292,4,0.872,4,0.6286,4,0.9509,2,0.5993,5,0.6934,3,0.1617,1,0.8206,4,0.9696,4,0.7709,1,0.9338,4,0.7353,3,0.5363,2,5,2,5,4,2,1,5,3,2,3,2,1,5,2,3,3,N,대구,시군구2,행정동5,상권유형B,Saturday,N,115,99,147445,9,P38710,음료,31637,2,100,식음료,120,스낵,112,사이다
54,202011,18-24,94806,30대,F,취업준비,사무직,6000-8000,4,0.1203,1,0.0785,4,0.7031,4,0.1031,5,0.4188,5,0.5057,4,0.8317,2,0.6511,1,0.2878,3,0.695,1,0.0769,4,0.1307,4,0.8608,2,0.1479,5,0.0808,4,0.6945,1,5,5,4,4,5,2,2,1,5,2,2,5,5,4,2,5,N,경남,시군구1,행정동3,상권유형B,Sunday,N,439,7,126400,5,P89101,간식,18710,2,300,서비스,310,헬스,122,초콜릿
55,202011,00-06,71736,20대,M,은퇴,무직,6000-8000,5,0.8168,4,0.1599,4,0.9359,1,0.1461,5,0.3173,2,0.9366,3,0.3967,4,0.6808,5,0.4817,1,0.849,4,0.8445,3,0.1526,4,0.407,3,0.9793,4,0.5068,3,0.3133,5,1,5,1,4,1,3,2,2,3,5,4,5,4,2,1,2,N,인천,시군구3,행정동5,상권유형B,Tuesday,N,104,1,129675,4,P50369,생필품,49134,1,200,생활,220,의류,112,사이다
56,202006,18-24,37267,50대,F,은퇴,사무직,6000-8000,4,0.2747,1,0.381,4,0.5887,5,0.0205,4,0.7391,3,0.4094,1,0.0565,3,0.5753,1,0.2006,1,0.8382,4,0.0376,3,0.6287,3,0.5859,3,0.8282,3,0.0346,2,0.4039,3,2,3,4,5,2,4,3,2,4,3,3,5,5,1,3,2,N,경북,시군구2,행정동1,상권유형C,Tuesday,Y,221,2,185637,6,P88445,스낵,43690,3,200,생활,120,스낵,122,초콜릿
57,202012,06-12,73737,60대,F,학생,생산직,6000-8000,5,0.5493,3,0.8541,4,0.5771,5,0.3634,1,0.2156,3,0.0825,1,0.5176,2,0.8668,4,0.8281,4,0.6265,5,0.8988,2,0.1519,4,0.4506,4,0.1207,5,0.7723,2,0.2212,1,3,5,5,1,2,5,4,2,2,5,1,3,5,3,4,1,Y,충남,시군구4,행정동5,상권유형B,Saturday,N,402,55,119170,7,P99195,도시락,41679,2,100,식음료,310,헬스,112,사이다
58,202007,18-24,74112,30대,F,자영업,무직,4000-6000,2,0.5496,5,0.1446,2,0.3046,1,0.6396,1,0.2563,2,0.3019,4,0.3764,4,0.2488,1,0.9254,3,0.2274,4,0.9756,4,0.1261,1,0.4503,3,0.1025,2,0.211,3,0.293,2,2,5,2,5,1,1,2,1,5,5,5,5,2,5,2,1,N,충북,시군구2,행정동5,상권유형A,Thursday,N,440,32,167997,1,P76688,음료,35757,4,200,생활,220,의류,121,과자
59,202102,06-12,40027,40대,M,자영업,무직,6000-8000,5,0.6026,2,0.8754,5,0.7096,4,0.5215,4,0.9359,5,0.6059,5,0.123,2,0.0558,1,0.4033,1,0.3162,1,0.6675,4,0.6705,4,0.1277,1,0.9773,4,0.9034,3,0.6874,3,4,4,2,2,4,3,2,2,3,1,4,1,3,2,4,1,N,경북,시군구5,행정동4,상권유형A,Saturday,N,219,82,127645,3,P36723,도시락,31006,2,300,서비스,210,주택,112,사이다
60,202102,06-12,40910,50대,F,취업준비,생산직,8000+,3,0.0555,1,0.2297,1,0.882,1,0.6745,3,0.0816,3,0.256,3,0.1059,3,0.9625,1,0.4489,4,0.7546,4,0.9843,4,0.6187,2,0.8421,3,0.2548,2,0.4761,4,0.3373,2,2,4,5,2,3,5,2,2,5,5,3,3,1,4,2,1,N,경남,시군구1,행정동5,상권유형A,Saturday,N,182,80,159954,1,P63299,간식,33248,3,100,식음료,310,헬스,211,의류
61,202105,18-24,89535,70대,F,직장인,생산직,2000-4000,4,0.1686,3,0.4525,4,0.6463,2,0.675,1,0.4146,3,0.269,1,0.153,2,0.0607,5,0.9827,4,0.4109,3,0.822,4,0.2177,3,0.3905,1,0.5387,1,0.4573,5,0.2796,5,1,5,1,4,2,1,2,4,3,1,3,1,4,3,5,3,N,광주,시군구5,행정동3,상권유형B,Saturday,N,232,50,153629,5,P43427,음료,5991,3,100,식음료,210,주택,121,과자
62,202102,12-18,56620,40대,F,자영업,사무직,4000-6000,4,0.1612,2,0.3527,1,0.233,2,0.1402,4,0.5768,1,0.3396,4,0.2058,5,0.903,3,0.1421,2,0.7325,2,0.0444,5,0.8232,4,0.5818,3,0.2362,2,0.3604,4,0.2986,5,2,5,5,5,5,3,1,3,1,1,2,3,1,5,2,3,N,제주,시군구2,행정동2,상권유형C,Tuesday,N,294,5,161866,2,P62623,생필품,46915,1,200,생활,120,스낵,121,과자
63,202010,00-06,15802,50대,F,취업준비,무직,0-2000,4,0.3021,1,0.1181,4,0.5441,3,0.0573,5,0.2303,3,0.7461,3,0.7538,5,0.6123,4,0.8086,4,0.3094,2,0.0038,5,0.1053,1,0.8571,3,0.6007,3,0.5164,1,0.6126,5,4,3,3,1,2,4,2,2,2,3,2,1,4,4,4,4,N,대구,시군구2,행정동1,상권유형A,Thursday,Y,161,57,122671,9,P73476,생필품,39095,2,200,생활,210,주택,112,사이다
64,202105,12-18,72258,60대,F,학생,사무직,2000-4000,2,0.1449,3,0.9443,1,0.7559,5,0.6254,1,0.281,4,0.9401,1,0.3817,3,0.9187,1,0.5673,5,0.0063,5,0.0208,5,0.3326,4,0.7735,2,0.84,1,0.338,3,0.5608,3,3,1,4,5,5,1,3,1,3,3,1,2,5,3,2,4,N,전남,시군구1,행정동1,상권유형B,Thursday,N,337,37,190615,4,P97200,생필품,14835,3,200,생활,210,주택,111,콜라
65,202010,18-24,59367,50대,F,취업준비,사무직,6000-8000,4,0.9219,2,0.4382,2,0.9394,3,0.6532,5,0.2218,3,0.3504,2,0.4369,4,0.565,5,0.8807,3,0.6035,1,0.4519,2,0.7389,2,0.1982,4,0.6569,2,0.3599,1,0.4069,5,2,4,2,2,4,4,3,3,1,4,5,3,3,2,3,1,N,울산,시군구4,행정동5,상권유형B,Sunday,N,403,83,188518,8,P80438,생필품,34306,3,300,서비스,110,음료,122,초콜릿
66,202009,06-12,51384,30대,F,취업준비,생산직,6000-8000,4,0.513,1,0.6903,2,0.1566,2,0.5567,2,0.3452,4,0.1955,2,0.5984,1,0.821,5,0.2924,2,0.6009,3,0.6234,1,0.6139,4,0.6185,4,0.0466,1,0.1956,3,0.6323,2,4,3,4,5,5,3,2,2,4,1,2,1,4,5,1,4,N,충남,시군구4,행정동1,상권유형C,Friday,Y,25,73,192891,9,P51862,음료,20962,1,100,식음료,210,주택,111,콜라
67,202104,18-24,72785,20대,F,취업준비,사무직,2000-4000,5,0.6236,2,0.5753,4,0.1275,1,0.2458,2,0.8985,1,0.4206,5,0.9601,5,0.7213,3,0.2962,5,0.6276,1,0.4815,1,0.6001,4,0.4957,2,0.5952,2,0.3452,3,0.6428,3,1,2,5,1,1,4,5,4,2,1,4,1,5,1,1,3,N,경북,시군구5,행정동2,상권유형C,Saturday,N,410,95,149712,3,P88130,도시락,46727,1,100,식음료,310,헬스,111,콜라
68,202010,12-18,90801,10대,M,취업준비,사무직,4000-6000,3,0.3575,1,0.5017,1,0.4129,5,0.8108,4,0.4316,1,0.3518,5,0.7565,2,0.5251,5,0.3258,5,0.2682,4,0.6771,4,0.6863,1,0.2602,3,0.661,4,0.8117,5,0.0131,4,3,1,3,4,5,4,2,2,5,4,1,5,4,3,5,1,N,경기,시군구1,행정동3,상권유형C,Sunday,N,341,37,117696,7,P82769,도시락,26996,4,200,생활,310,헬스,122,초콜릿
69,202006,06-12,33713,30대,M,학생,전문의,8000+,3,0.2762,5,0.6166,2,0.1256,2,0.0757,2,0.4178,2,0.99,1,0.6457,5,0.3633,1,0.0166,3,0.8111,1,0.4496,5,0.6465,2,0.0409,3,0.2009,1,0.2457,2,0.3391,3,1,4,2,3,1,1,5,5,5,3,1,2,3,2,1,4,N,부산,시군구3,행정동2,상권유형C,Friday,Y,30,32,155449,1,P36085,음료,35615,4,200,생활,220,의류,122,초콜릿
70,202011,00-06,42510,30대,F,은퇴,자영업자,0-2000,3,0.5032,5,0.8983,2,0.9804,3,0.6323,1,0.3866,2,0.4639,3,0.7438,5,0.0029,2,0.1699,3,0.4875,5,0.0426,4,0.8743,5,0.6298,3,0.7621,2,0.8213,3,0.2443,5,4,5,1,5,4,1,4,1,1,2,2,5,5,3,3,4,N,경북,시군구5,행정동5,상권유형C,Friday,N,400,48,108076,9,P20124,생필품,9854,2,100,식음료,210,주택,112,사이다
71,202103,12-18,19760,30대,F,학생,서비스직,0-2000,1,0.2943,2,0.6993,4,0.4243,1,0.1204,5,0.9641,5,0.6793,1,0.7193,1,0.2509,1,0.9946,5,0.7624,5,0.2262,4,0.5688,2,0.7799,3,0.6269,1,0.8613,3,0.8291,1,5,3,5,3,4,2,4,5,2,1,1,2,1,5,3,3,N,대구,시군구1,행정동1,상권유형B,Thursday,N,248,82,170590,7,P47691,음료,5624,1,300,서비스,310,헬스,122,초콜릿
72,202008,00-06,65060,40대,F,자영업,자영업자,2000-4000,1,0.3436,5,0.5325,5,0.5336,2,0.6544,2,0.1173,5,0.9138,3,0.6902,1,0.9518,1,0.2489,1,0.6111,5,0.9926,1,0.4013,3,0.9417,2,0.0095,2,0.6663,1,0.2754,3,3,2,5,1,1,2,2,4,4,2,5,1,2,1,4,1,N,전북,시군구3,행정동1,상권유형B,Monday,N,12,50,127264,7,P73073,간식,45071,2,200,생활,310,헬스,111,콜라
73,202011,18-24,40868,40대,M,자영업,전문의,6000-8000,1,0.4528,3,0.6452,4,0.2271,3,0.4177,1,0.8719,3,0.6291,1,0.4964,4,0.2755,5,0.0199,2,0.4161,2,0.3459,3,0.7661,1,0.355,1,0.9506,4,0.0307,1,0.3173,5,5,1,4,1,1,2,5,4,5,2,1,1,2,1,1,1,N,경기,시군구2,행정동2,상권유형A,Saturday,N,41,34,119794,6,P31936,스낵,30655,3,100,식음료,310,헬스,121,과자
74,202007,12-18,34893,50대,F,자영업,서비스직,2000-4000,4,0.5057,5,0.6064,3,0.4491,5,0.7181,4,0.3272,3,0.2494,4,0.5668,5,0.7519,3,0.2785,3,0.6796,4,0.3248,4,0.2592,4,0.3992,1,0.4456,3,0.561,4,0.5378,1,5,4,1,2,1,5,3,5,5,3,3,4,2,5,1,4,N,경기,시군구2,행정동4,상권유형C,Wednesday,N,30,90,181018,1,P99059,도시락,33380,3,200,생활,220,의류,211,의류
75,202102,06-12,69955,20대,M,은퇴,자영업자,8000+,3,0.9843,1,0.4331,2,0.9847,2,0.0522,2,0.9565,2,0.6074,1,0.4615,4,0.5085,4,0.4084,4,0.575,1,0.1528,1,0.7596,1,0.163,1,0.2324,2,0.8331,2,0.5474,2,4,1,5,5,1,4,3,3,1,5,2,1,4,4,2,1,N,광주,시군구4,행정동2,상권유형A,Monday,N,204,39,165917,3,P97350,도시락,20486,4,100,식음료,220,의류,112,사이다
76,202011,00-06,41407,20대,M,학생,전문의,8000+,5,0.2233,2,0.6248,5,0.4887,3,0.5551,4,0.3152,3,0.4019,5,0.395,1,0.3085,5,0.5478,4,0.5107,2,0.9871,4,0.28,2,0.9846,5,0.0862,2,0.3658,2,0.811,5,1,1,3,1,1,2,2,4,2,3,2,5,4,3,5,2,N,강원,시군구5,행정동5,상권유형B,Wednesday,N,261,87,109706,7,P10898,스낵,31731,3,200,생활,210,주택,122,초콜릿
77,202009,12-18,46972,50대,M,취업준비,자영업자,4000-6000,4,0.488,4,0.4436,1,0.0088,5,0.1449,1,0.0829,4,0.4223,2,0.2708,4,0.9911,4,0.0686,2,0.6486,1,0.2305,2,0.4804,3,0.8496,1,0.3744,4,0.2828,5,0.3879,4,1,1,2,5,5,4,3,3,1,3,1,2,1,2,2,4,N,대구,시군구1,행정동1,상권유형C,Wednesday,N,120,64,187315,2,P45973,도시락,21358,4,300,서비스,220,의류,112,사이다
78,202008,00-06,44564,50대,M,학생,사무직,2000-4000,1,0.1495,2,0.7576,1,0.2425,2,0.6824,3,0.52,4,0.9793,2,0.3552,2,0.047,2,0.7904,5,0.0859,1,0.6468,1,0.7392,4,0.9576,5,0.3078,3,0.3214,2,0.2812,2,1,2,2,3,2,1,4,4,2,5,2,4,2,4,3,3,N,인천,시군구4,행정동2,상권유형A,Wednesday,Y,485,7,166176,6,P33210,간식,32004,1,300,서비스,120,스낵,112,사이다
79,202012,06-12,26595,70대,F,직장인,서비스직,0-2000,1,0.35,5,0.9689,2,0.9785,2,0.12,3,0.2279,5,0.2786,5,0.4285,5,0.5821,2,0.8255,4,0.9103,2,0.042,4,0.6277,3,0.4953,5,0.298,3,0.4231,5,0.6082,2,2,2,5,3,5,1,5,3,4,1,1,3,5,2,3,5,N,경기,시군구2,행정동4,상권유형A,Tuesday,N,16,49,126980,8,P88292,도시락,31831,1,100,식음료,310,헬스,112,사이다
80,202102,18-24,13454,50대,F,자영업,서비스직,8000+,2,0.7173,3,0.9599,2,0.9891,1,0.0736,5,0.753,3,0.4689,5,0.5794,5,0.4615,1,0.2132,3,0.3351,3,0.0665,3,0.0857,5,0.2098,2,0.7932,5,0.0702,4,0.7283,2,3,2,4,5,1,1,5,5,2,1,3,1,3,4,3,2,Y,전남,시군구4,행정동4,상권유형C,Sunday,N,486,69,139921,8,P80644,스낵,11439,2,100,식음료,310,헬스,112,사이다
81,202105,18-24,82896,50대,M,은퇴,생산직,8000+,5,0.1745,3,0.8207,3,0.2105,5,0.7131,3,0.6573,2,0.1599,1,0.4999,4,0.0765,5,0.7984,5,0.2247,5,0.7168,3,0.4466,3,0.5732,3,0.6459,5,0.2377,2,0.9926,4,2,1,3,4,4,3,1,2,4,5,2,4,2,3,5,5,N,강원,시군구5,행정동3,상권유형C,Sunday,N,76,91,145789,1,P70384,스낵,45033,4,100,식음료,220,의류,111,콜라
82,202011,18-24,10080,30대,F,취업준비,무직,4000-6000,1,0.5814,3,0.6018,5,0.6153,1,0.0635,5,0.6865,1,0.1785,1,0.1079,3,0.2141,5,0.3614,1,0.7718,1,0.6352,3,0.8119,2,0.3721,2,0.1331,2,0.6469,5,0.6183,1,5,4,4,4,3,4,1,4,2,5,1,1,3,4,4,2,N,경남,시군구5,행정동3,상권유형C,Monday,N,55,54,191232,5,P76042,간식,47287,4,100,식음료,220,의류,211,의류
83,202007,18-24,33163,30대,M,취업준비,자영업자,4000-6000,1,0.4167,4,0.7493,4,0.0769,2,0.2245,2,0.1935,4,0.6035,5,0.34,2,0.6942,3,0.4231,4,0.2312,3,0.6802,4,0.9968,1,0.3479,2,0.7081,4,0.4725,4,0.4907,2,4,5,5,5,3,3,5,1,3,3,1,4,4,4,3,1,N,광주,시군구1,행정동1,상권유형B,Thursday,N,246,2,155390,2,P81797,스낵,38109,1,200,생활,310,헬스,121,과자
84,202103,12-18,67081,30대,M,은퇴,전문의,6000-8000,1,0.0516,1,0.178,2,0.5774,1,0.8247,3,0.7086,5,0.751,5,0.3762,5,0.1083,3,0.9364,5,0.9958,4,0.231,3,0.4668,4,0.0824,2,0.7235,4,0.2473,2,0.1331,1,4,2,4,3,4,3,5,1,3,2,5,3,3,3,2,4,N,서울,시군구5,행정동1,상권유형A,Wednesday,N,380,36,182001,3,P76076,도시락,1504,1,100,식음료,210,주택,211,의류
85,202101,00-06,13998,40대,F,자영업,전문의,6000-8000,3,0.9331,4,0.479,2,0.1259,4,0.8097,5,0.3113,3,0.6365,3,0.7069,1,0.801,5,0.8919,4,0.4205,2,0.9849,5,0.0859,3,0.0731,2,0.5143,5,0.9309,3,0.9869,4,4,2,2,5,2,1,1,4,2,1,2,2,5,1,2,4,N,광주,시군구5,행정동1,상권유형A,Saturday,N,330,96,103180,8,P70222,생필품,1604,1,100,식음료,310,헬스,122,초콜릿
86,202102,18-24,65896,60대,M,자영업,무직,0-2000,5,0.4136,4,0.2573,4,0.8187,2,0.8541,1,0.9987,5,0.3293,1,0.3329,1,0.6251,2,0.3751,3,0.2966,4,0.5584,5,0.3662,4,0.3788,4,0.9958,2,0.2955,2,0.685,5,4,5,1,4,1,4,5,2,1,1,3,5,5,4,5,5,N,부산,시군구4,행정동3,상권유형C,Thursday,N,396,49,150779,7,P98420,도시락,40307,4,200,생활,220,의류,211,의류
87,202007,18-24,73573,30대,F,직장인,생산직,6000-8000,4,0.7839,5,0.0035,2,0.9396,4,0.3261,5,0.7318,2,0.0596,1,0.008,1,0.1009,3,0.4881,2,0.0621,3,0.9695,3,0.4899,2,0.9262,3,0.2835,4,0.1293,5,0.165,1,5,5,1,5,2,3,4,1,2,5,3,2,5,4,1,1,N,강원,시군구2,행정동5,상권유형B,Friday,N,227,39,108513,7,P59388,스낵,7776,4,300,서비스,120,스낵,112,사이다
88,202009,18-24,66628,40대,M,직장인,서비스직,8000+,3,0.4163,5,0.9667,5,0.173,4,0.528,4,0.5904,1,0.4703,2,0.0843,3,0.2868,5,0.2865,2,0.0418,3,0.1642,1,0.0734,2,0.723,1,0.0585,1,0.1993,3,0.4597,5,2,4,2,3,5,5,5,4,4,4,3,2,1,3,1,3,N,제주,시군구4,행정동1,상권유형C,Monday,Y,438,88,138066,7,P18626,간식,48888,4,300,서비스,110,음료,111,콜라
89,202103,12-18,31198,30대,M,취업준비,사무직,6000-8000,1,0.9374,4,0.8638,3,0.4627,1,0.7733,4,0.8671,4,0.5043,4,0.497,1,0.1372,2,0.5154,3,0.0951,1,0.4051,2,0.8643,3,0.7606,2,0.0288,3,0.2966,1,0.5603,5,1,3,4,4,3,2,1,4,4,5,5,4,3,3,2,4,Y,경기,시군구1,행정동1,상권유형A,Friday,N,382,42,155057,2,P48286,생필품,18477,1,300,서비스,210,주택,211,의류
90,202103,00-06,2956,20대,F,자영업,서비스직,4000-6000,2,0.2905,3,0.5137,3,0.102,2,0.137,2,0.5893,1,0.7707,1,0.1885,3,0.7976,5,0.6819,5,0.005,1,0.3357,4,0.5388,2,0.2343,5,0.3205,1,0.5226,4,0.2169,3,2,5,1,3,5,1,5,4,1,3,4,2,3,4,5,3,N,대구,시군구2,행정동4,상권유형A,Thursday,N,22,77,183461,5,P70757,간식,9218,3,300,서비스,110,음료,211,의류
91,202011,12-18,88847,20대,F,취업준비,전문의,4000-6000,3,0.4122,3,0.2542,5,0.3391,1,0.7244,5,0.5527,1,0.6403,4,0.4946,1,0.533,1,0.0927,3,0.3271,5,0.7551,2,0.4161,5,0.7345,5,0.4979,4,0.0663,4,0.7325,1,2,4,1,5,5,3,2,3,2,4,3,3,4,2,4,2,Y,충북,시군구5,행정동3,상권유형C,Sunday,N,251,3,127752,3,P88718,도시락,34392,2,300,서비스,220,의류,211,의류
92,202103,06-12,33328,20대,M,은퇴,생산직,2000-4000,2,0.7589,2,0.693,2,0.0651,1,0.0975,5,0.2373,4,0.8713,5,0.5742,5,0.0028,3,0.9198,1,0.3105,5,0.7476,4,0.3972,4,0.4063,1,0.0782,4,0.8549,2,0.6503,4,5,4,5,4,1,1,3,5,5,5,2,4,5,3,5,2,N,전북,시군구4,행정동2,상권유형A,Monday,N,486,57,124434,1,P67706,간식,34443,4,200,생활,220,의류,211,의류
93,202104,18-24,80695,60대,M,학생,생산직,6000-8000,4,0.3437,5,0.4348,3,0.2645,3,0.9133,2,0.6781,3,0.783,1,0.9334,3,0.5429,3,0.7189,3,0.4301,3,0.4865,4,0.0283,5,0.0594,3,0.5658,3,0.8775,5,0.2337,3,3,1,3,1,1,1,2,1,5,2,5,5,3,1,4,1,N,경북,시군구2,행정동1,상권유형B,Wednesday,N,363,3,185132,9,P35220,음료,31892,4,100,식음료,110,음료,112,사이다
94,202010,06-12,20583,30대,F,직장인,생산직,2000-4000,5,0.3644,2,0.8033,3,0.9902,2,0.6373,3,0.3746,4,0.3659,5,0.6556,1,0.4828,2,0.0968,1,0.2329,3,0.0161,3,0.5189,2,0.3948,5,0.9009,3,0.3184,3,0.9898,5,3,4,1,3,1,2,1,1,1,3,1,5,2,4,3,4,Y,경기,시군구3,행정동5,상권유형C,Saturday,N,411,18,154335,4,P28518,음료,38530,4,300,서비스,120,스낵,121,과자
95,202104,06-12,17078,50대,M,취업준비,무직,2000-4000,2,0.9948,3,0.9995,2,0.0446,1,0.4933,1,0.0431,4,0.6322,5,0.031,4,0.6431,5,0.869,5,0.0627,3,0.1752,1,0.4756,1,0.1313,1,0.7969,2,0.7753,2,0.9487,2,1,2,5,1,1,4,4,2,4,2,3,1,5,1,1,4,N,울산,시군구1,행정동4,상권유형A,Tuesday,N,360,54,172674,2,P85537,도시락,25432,1,300,서비스,210,주택,122,초콜릿
96,202009,00-06,78036,40대,M,자영업,무직,2000-4000,2,0.5556,1,0.3491,1,0.859,3,0.4847,2,0.8161,2,0.7473,2,0.3807,2,0.0348,3,0.7437,3,0.0712,3,0.0503,3,0.3459,1,0.8537,1,0.6725,4,0.5997,4,0.2655,3,4,4,5,4,3,3,1,5,4,3,4,5,4,5,5,3,N,강원,시군구5,행정동3,상권유형A,Tuesday,N,304,62,193166,8,P29163,도시락,16089,2,200,생활,220,의류,211,의류
97,202008,18-24,94033,20대,F,자영업,사무직,2000-4000,1,0.6894,2,0.2444,2,0.0775,3,0.1814,1,0.0519,4,0.9569,1,0.7935,2,0.0354,5,0.3131,2,0.1821,4,0.847,4,0.6587,5,0.8403,2,0.6617,5,0.8454,1,0.4418,5,4,3,3,4,1,5,3,4,1,2,5,3,3,4,4,1,N,인천,시군구3,행정동2,상권유형B,Wednesday,N,168,12,104709,7,P12429,생필품,21791,4,200,생활,110,음료,111,콜라
98,202102,18-24,86202,20대,M,은퇴,사무직,2000-4000,4,0.6435,2,0.2674,1,0.529,5,0.3459,3,0.6723,3,0.4224,2,0.2606,4,0.3494,2,0.5214,4,0.3166,3,0.2898,1,0.411,5,0.2875,2,0.7303,1,0.277,5,0.8948,4,5,1,1,5,5,1,1,3,2,2,1,5,5,3,1,4,N,부산,시군구3,행정동5,상권유형A,Thursday,N,34,50,160369,3,P68518,도시락,31684,3,200,생활,210,주택,211,의류
99,202101,00-06,75373,50대,F,자영업,서비스직,0-2000,3,0.8279,3,0.0933,4,0.4521,4,0.7271,3,0.1567,3,0.6483,2,0.925,5,0.6885,2,0.8601,3,0.148,1,0.1179,5,0.5718,4,0.6119,5,0.4942,2,0.6102,4,0.4063,4,1,3,4,1,3,5,5,5,1,2,2,2,2,3,5,5,N,전남,시군구2,행정동1,상권유형A,Monday,Y,151,41,107539,8,P56869,생필품,39583,3,200,생활,120,스낵,122,초콜릿
100,202007,06-12,25421,30대,M,취업준비,무직,6000-8000,2,0.8618,3,0.394,1,0.9316,2,0.5409,3,0.4326,4,0.3927,2,0.529,5,0.6666,3,0.9681,3,0.3651,1,0.3542,1,0.885,3,0.3638,2,0.4018,4,0.0727,2,0.9548,5,4,3,5,3,4,3,3,5,4,5,1,3,2,1,4,4,N,대구,시군구2,행정동4,상권유형B,Friday,N,120,45,193008,7,P68906,간식,21882,1,100,식음료,120,스낵,121,과자
101,202103,06-12,91407,60대,F,취업준비,생산직,4000-6000,2,0.5633,4,0.0174,2,0.199,3,0.5293,4,0.8591,2,0.7378,5,0.0924,3,0.2783,3,0.2811,3,0.9222,5,0.0773,3,0.3639,2,0.1542,2,0.3067,2,0.0095,1,0.2004,3,2,1,5,2,5,3,1,1,5,2,2,5,1,4,4,1,N,전북,시군구2,행정동4,상권유형B,Saturday,N,362,81,144047,3,P51507,스낵,5237,2,300,서비스,210,주택,122,초콜릿
102,202008,06-12,67117,20대,F,은퇴,무직,8000+,1,0.2946,3,0.1144,5,0.1797,1,0.1952,5,0.0944,3,0.912,1,0.2417,5,0.2161,2,0.6506,5,0.2616,4,0.9789,3,0.3979,4,0.6494,2,0.0996,1,0.8747,3,0.724,1,2,5,3,3,1,5,5,3,1,4,5,5,1,2,2,3,N,충북,시군구3,행정동4,상권유형C,Wednesday,Y,173,94,144200,3,P64005,생필품,20380,4,200,생활,110,음료,112,사이다
